business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
AM's Academy of Commerce,Commerce and CA Coaching,Educational institution,Educational institution,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 79943 96654,N/A,4.9,64.0,"2nd Floor Yonus Vakiyil Memorial Arcade Mundalumoodu, Keralam 691012",Mulamkadakam,8.8938075,76.5674545,ChIJK1aMQbX9BTsRamIHdamzRNI,https://www.google.com/maps/place/?q=place_id:ChIJK1aMQbX9BTsRamIHdamzRNI,part_307,2026-09-20 20:16:57,3722
IAT Professional Campus,Commerce and CA Coaching,Educational institution,"Educational institution, Certified public accountant, College",690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 81119 45072,http://www.iatcampus.com/,4.6,243.0,"IAT Bhavan, near Maha Ganapathy Temple, Kottarakkara, Keralam 691506",Chenthara,9.002218,76.76867299999999,ChIJ_47fzq8LBjsR-K8s3IoZ8LU,https://www.google.com/maps/place/?q=place_id:ChIJ_47fzq8LBjsR-K8s3IoZ8LU,part_307,2026-09-20 20:16:57,3723
Rank Centre For CA - The CA Coaching Centre in Trivandrum,Commerce and CA Coaching,Coaching Center,"Coaching Center, Certified public accountant",690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 94474 29209,https://www.rankcentreforca.com/,4.1,416.0,"NSS SCHOOL, Sankar Rd, near R K D, Sasthamangalam, Thiruvananthapuram, Keralam 695010",Sasthamangalam,8.5111002,76.9714786,ChIJtwuNhTG6BTsR2YZYJIJtEX8,https://www.google.com/maps/place/?q=place_id:ChIJtwuNhTG6BTsR2YZYJIJtEX8,part_307,2026-09-20 20:16:57,3724
Professional Chapter,Commerce and CA Coaching,Educational institution,"Educational institution, University",690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 94477 44029,https://professionalchapterkollam.com/,4.1,198.0,"Saraswathy Mandiram, Mundakkal, Kollam, Keralam 691001",Mundakkal,8.8774445,76.60321789999999,ChIJ1b_M8Yz8BTsRKjsQ4Y4C0Gw,https://www.google.com/maps/place/?q=place_id:ChIJ1b_M8Yz8BTsRKjsQ4Y4C0Gw,part_307,2026-09-20 20:16:57,3725
Accountancy Guru – Commerce Classes by CA Veena Seshadri,Commerce and CA Coaching,Coaching Center,"Coaching Center, Service establishment",690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",N/A,https://accountancyguru.in/,5.0,11.0,"Accountancy Guru – Commerce Classes by CA Veena Seshadri, 690526, India",690526,21.0680074,82.7525294,ChIJCQJEN8oVPCYRahRtQ5wuSBM,https://www.google.com/maps/place/?q=place_id:ChIJCQJEN8oVPCYRahRtQ5wuSBM,part_307,2026-09-20 20:16:57,3726
C&C COLLEGE,Commerce and CA Coaching,Coaching Center,Coaching Center,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 96339 32211,N/A,5.0,680.0,"CSI church, PGRA 1 ,Panchami Garden Sreekrishna Nagar, Kochar Rd, near JAGATHY, Jagathy, Thiruvananthapuram, Keralam 695014",Jagathy,8.4979399,76.9680422,ChIJPcwtmEu6BTsR98-R36SxqxY,https://www.google.com/maps/place/?q=place_id:ChIJPcwtmEu6BTsR98-R36SxqxY,part_307,2026-09-20 20:16:57,3727
Commerce tuition in kollam. 11-12 state/ cbse / icse. B com,Commerce and CA Coaching,Educational institution,Educational institution,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 95261 83958,N/A,4.6,10.0,"Pallimukku, Kollam, Keralam 691021",Pallimukku,8.8839436,76.6202995,ChIJ4Sz6oyD9BTsRTtwT1peEL5I,https://www.google.com/maps/place/?q=place_id:ChIJ4Sz6oyD9BTsRTtwT1peEL5I,part_307,2026-09-20 20:16:57,3728
LAKSHYA KAYAMKULAM,Commerce and CA Coaching,Education center,Education center,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",N/A,N/A,5.0,1.0,"5FGV+WFF, Kayamkulam, Keralam 690502",690526,9.1771391,76.4942796,ChIJk11Gy2sdBjsRg2_gg437eN8,https://www.google.com/maps/place/?q=place_id:ChIJk11Gy2sdBjsRg2_gg437eN8,part_307,2026-09-20 20:16:57,3729
Pradeep Mukhathala PSC COACHING,Commerce and CA Coaching,Tutoring service,Tutoring service,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",N/A,N/A,5.0,20.0,"VMX8+FG6, Mukhathala, Keralam 691577",690526,8.8986611,76.6662431,ChIJSUJhGPrjBTsR2OAoc3G4v8g,https://www.google.com/maps/place/?q=place_id:ChIJSUJhGPrjBTsR2OAoc3G4v8g,part_307,2026-09-20 20:16:57,3730
INSPIRE ACADEMY KADAKKAL,Commerce and CA Coaching,Coaching Center,Coaching Center,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 73062 61428,https://youtube.com/@INSPIREPSCACADEMY,5.0,362.0,"Market Junction, Kadakkal, Keralam 691536",Market Junction,8.8251229,76.9198923,ChIJL3Gx-BTbBTsRfaNlQeUBoxI,https://www.google.com/maps/place/?q=place_id:ChIJL3Gx-BTbBTsRfaNlQeUBoxI,part_307,2026-09-20 20:16:57,3731
