business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
HipHopz Kollam,Luxury Clothing Shops,Designer Clothing Store,"Designer Clothing Store, Dress store",691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 96333 07037,https://www.hiphopzkollam.com/,4.7,,"First floor, Kurumpelil Avenue, near Istanbul restaurant, Polayathodu, Kollam, Keralam 691021",Polayathodu,8.8786155,76.60895339999999,ChIJBW6b3PX9BTsRb_JoQUZCu1M,https://www.google.com/maps/place/?q=place_id:ChIJBW6b3PX9BTsRb_JoQUZCu1M,part_308,2026-09-20 20:16:41,1231
EasyBuy,Luxury Clothing Shops,Clothing store,"Clothing store, Children's clothing store, Men's clothing store, Women's clothing store",691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 1800 202 4454,https://stores.easybuyindia.com/easybuy-rp-mall-clothing-shop-kachery-kollam-284083/Home?utm_source=locator&utm_medium=googleplaces,4.8,,"2nd Floor, RP Mall, Kachery, Taluk Kachery, Kollam, Keralam 691001","Kachery, Taluk Kachery",8.8895701,76.5855936,ChIJJ4bLeVD8BTsRAtfacE5IK7g,https://www.google.com/maps/place/?q=place_id:ChIJJ4bLeVD8BTsRAtfacE5IK7g,part_308,2026-09-20 20:16:41,1232
"Westside - Chandanayazhikam Arcade, Kollam",Luxury Clothing Shops,Clothing store,"Clothing store, Clothing Accessories Store, Formal Clothing Store, Outlet mall, Shopping mall, Western apparel store, Youth clothing store",691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 474 274 4486,https://www.westside.com/?utm_source=google-gmb&utm_medium=gmb-seo-url&utm_campaign=westside-gmb,4.1,,"VJG7+MCV C Chandanayazhikam Arcade, 4/478, PO, Madannada, Vadakkevilla, Kollam, Keralam 691010",Madannada,8.876989,76.61401149999999,ChIJK-O5WJT8BTsRMEJUB8VMpSQ,https://www.google.com/maps/place/?q=place_id:ChIJK-O5WJT8BTsRMEJUB8VMpSQ,part_308,2026-09-20 20:16:41,1233
Habit Boutique,Luxury Clothing Shops,Boutique,Boutique,691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 97026 81426,N/A,4.6,15.0,"Keralapuram-Poojappura-Mammoodu Rd, Chandanathope, Kottamkara, Keralapuram, Keralam 691014",Chandanathope,8.9385309,76.6549008,ChIJBS30uqXiBTsR9PjDbtk6gdM,https://www.google.com/maps/place/?q=place_id:ChIJBS30uqXiBTsR9PjDbtk6gdM,part_308,2026-09-20 20:16:42,1234
"NILAA Designs, Kottiyam",Luxury Clothing Shops,Designer Clothing Store,Designer Clothing Store,691304,Kerala Circle,Trivandrum HQ Region,Quilon Division,Pullichira SO,+91 75599 71888,N/A,4.9,,"Kottiyam, Keralam 691571",691304,8.865444799999999,76.67269929999999,ChIJiQ_MGDfjBTsRnGZLY68ewqE,https://www.google.com/maps/place/?q=place_id:ChIJiQ_MGDfjBTsRnGZLY68ewqE,part_308,2026-09-20 20:17:27,5410
Lumea Designs - Designer Boutique in Kollam,Luxury Clothing Shops,Boutique,Boutique,691304,Kerala Circle,Trivandrum HQ Region,Quilon Division,Pullichira SO,+91 82815 54085,https://lumeadesigns.in/,4.9,,"Thazhuthala, P.O, Kannanalloor, Kollam, Keralam 691576",P.O,8.8857947,76.6777669,ChIJDUMBAGDjBTsREKV-Kt7xDyA,https://www.google.com/maps/place/?q=place_id:ChIJDUMBAGDjBTsREKV-Kt7xDyA,part_308,2026-09-20 20:17:27,5411
Amolika Designer Store,Luxury Clothing Shops,Clothing store,Clothing store,691305,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Punalur HO,+91 94972 73890,N/A,4.3,680.0,"main gate carmel school, Evra 352, evra road, Cotton Hill, Vazhuthacaud, Thiruvananthapuram, Keralam 695014","Cotton Hill, Vazhuthacaud",8.4994522,76.9658267,ChIJHSepYEu6BTsRLe4PcrW9i8Q,https://www.google.com/maps/place/?q=place_id:ChIJHSepYEu6BTsRLe4PcrW9i8Q,part_308,2026-09-20 20:18:14,7788
Premier Fancy Store,Luxury Clothing Shops,Boutique,Boutique,691306,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Anchal SO, Alayamon BO, Cherukulam BO",+91 99476 92799,N/A,5.0,3.0,"Anchal, Keralam 691306",691306,8.9277756,76.9130291,ChIJp8yFu5XfBTsRk8AYF8r-E6Y,https://www.google.com/maps/place/?q=place_id:ChIJp8yFu5XfBTsRk8AYF8r-E6Y,part_308,2026-09-20 20:18:58,9917
AADI BOUTIQUE,Luxury Clothing Shops,Boutique,"Boutique, Clothing store",691306,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Anchal SO, Alayamon BO, Cherukulam BO",+91 77367 87567,N/A,5.0,4.0,"Ambalamukku, Anchal, Keralam 691306",Ambalamukku,8.937548999999999,76.9163162,ChIJ_R3bX6_fBTsRAboDTsxdM2o,https://www.google.com/maps/place/?q=place_id:ChIJ_R3bX6_fBTsRAboDTsxdM2o,part_308,2026-09-20 20:18:58,9918
DE THREADS,Luxury Clothing Shops,Boutique,Boutique,691306,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Anchal SO, Alayamon BO, Cherukulam BO",+91 62355 99399,N/A,4.8,5.0,"WWG8+P74, Anchal, Keralam 691306",691306,8.9267401,76.9156861,ChIJqVlbylXfBTsRui2mWaJg3EM,https://www.google.com/maps/place/?q=place_id:ChIJqVlbylXfBTsRui2mWaJg3EM,part_308,2026-09-20 20:18:58,9919
Azura Fashion Hub,Luxury Clothing Shops,Boutique,Boutique,691306,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Anchal SO, Alayamon BO, Cherukulam BO",+91 62824 42660,N/A,4.5,,"Kedaram shopping complex, Vivekananda Nagar, Kesavadasapuram, Thiruvananthapuram, Keralam 695004","Vivekananda Nagar, Kesavadasapuram",8.5292391,76.9381269,ChIJ5c1yaEW5BTsR8zwLot-TBeU,https://www.google.com/maps/place/?q=place_id:ChIJ5c1yaEW5BTsR8zwLot-TBeU,part_308,2026-09-20 20:18:58,9920
Hyacinth Designer Boutique,Luxury Clothing Shops,Designer Clothing Store,Designer Clothing Store,691307,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Edamon SO, Anapettakongal BO, Ayiranallur BO",N/A,N/A,5.0,,"Cheriyil Junction, P.O, Mangad, Kollam, Keralam 691015","P.O, Mangad",8.926917699999999,76.6195358,ChIJ8T5v3oj9BTsRHI2h_YivXzI,https://www.google.com/maps/place/?q=place_id:ChIJ8T5v3oj9BTsRHI2h_YivXzI,part_308,2026-09-20 20:19:45,11827
Luxury D’Allure,Luxury Clothing Shops,Clothing store,Clothing store,691308,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Thenmala SO, Kallada Irrigation Project BO, Ottackal BO",+91 85880 58196,http://www.luxurydallure.com/,4.5,,"15, E Block Rd, Block E, Tagore Garden, Tagore Garden Extension, Delhi, 110027","Block E, Tagore Garden, Tagore Garden Extension",28.6482875,77.1118485,ChIJByqUHx4DDTkRB-CBOBytZ54,https://www.google.com/maps/place/?q=place_id:ChIJByqUHx4DDTkRB-CBOBytZ54,part_308,2026-09-20 20:20:29,14595
Forever Pretty,Luxury Clothing Shops,Women's clothing store,"Women's clothing store, Clothing store, Designer Clothing Store, Outlet mall, Plus Size Clothing Store, Shopping mall, Western apparel store, Youth clothing store",691308,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Thenmala SO, Kallada Irrigation Project BO, Ottackal BO",+91 98197 34541,https://www.foreverpretty.co.in/,4.9,1161.0,"Shop No-1, Forever Pretty, Seawoods West, Sector 42, Seawoods, Navi Mumbai, Maharashtra 400706","Seawoods West, Sector 42, Seawoods",19.020079199999998,73.0169588,ChIJVVVVkcnG5zsR7zd7vHyYZv0,https://www.google.com/maps/place/?q=place_id:ChIJVVVVkcnG5zsR7zd7vHyYZv0,part_308,2026-09-20 20:20:30,14596
Luxury Wears,Luxury Clothing Shops,Clothing store,Clothing store,691308,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Thenmala SO, Kallada Irrigation Project BO, Ottackal BO",N/A,https://instagram.com/_luxury.wears_?igshid=YmMyMTA2M2Y=,5.0,,"456, 9th Main Rd, Hoshalli Extension, Hosahalli, Vijayanagar, Bengaluru, Karnataka 560040","Hoshalli Extension, Hosahalli, Vijayanagar",12.9684679,77.5442693,ChIJr9vHZDU9rjsRw0jHeoMWzb0,https://www.google.com/maps/place/?q=place_id:ChIJr9vHZDU9rjsRw0jHeoMWzb0,part_308,2026-09-20 20:20:31,14597
